WelzlTime - NaifTime
34513198 - 256111271
785467 - 105979552
1208400 - 93511132
532299 - 84822987
1731917 - 107749334
521153 - 88913659
235600 - 73956165
274549 - 104179000
478103 - 80555080
376808 - 102077237
312894 - 82429206
274208 - 82065021
266427 - 73029075
229101 - 86715766
235607 - 91582848
443307 - 78275860
203670 - 96887279
399194 - 88636344
833725 - 109182845
269540 - 95332586
478705 - 87761557
355880 - 89079311
250825 - 111556963
349498 - 94764174
591391 - 106015776
281942 - 108395948
481991 - 75478109
171690 - 96282950
549000 - 85654377
415726 - 97792029
196370 - 90568120
385024 - 77076946
390698 - 97570457
409424 - 92927128
585635 - 85161632
314675 - 71022202
220959 - 99642154
467360 - 73869743
288023 - 93020525
198988 - 87403207
215600 - 69890339
364956 - 82577899
200979 - 93228736
735054 - 97456689
408300 - 110087909
458297 - 104812790
120106 - 98851037
115810 - 106606887
389443 - 93711735
344208 - 81941128
513356 - 73536495
340785 - 76745351
334339 - 90821428
467483 - 72582655
133814 - 84523409
174426 - 113328843
522880 - 88450356
172160 - 86126721
177448 - 100420955
409649 - 100453891
284552 - 77490551
257991 - 96180125
543607 - 93640557
667420 - 75163267
1064331 - 92182142
418940 - 74382041
404584 - 97738852
241338 - 81487095
548610 - 81200787
686349 - 83454387
546377 - 78365642
954142 - 103728748
261198 - 74872468
761302 - 81569164
947652 - 76384951
1404321 - 78260532
225879 - 86505709
476283 - 77167819
434469 - 72290561
410588 - 78446504
374049 - 79429300
495105 - 94014109
647618 - 71467527
342786 - 87263651
348178 - 73722897
716880 - 90353869
3061234 - 81203419
503131 - 100083359
231076 - 84041687
208763 - 94117471
139780 - 103104141
337018 - 95334035
1231623 - 81143529
497289 - 104072695
258871 - 107055566
544606 - 75491053
312954 - 79958229
338047 - 81848909
511702 - 101592478
375832 - 75117387
312946 - 84388094
299443 - 76285549
336943 - 79051515
90030 - 654248
223415 - 104973812
428379 - 87572997
209023 - 104569128
321947 - 107338708
192305 - 123394896
415638 - 99014339
276015 - 106641737
184293 - 91213408
241762 - 83243829
279433 - 82839726
127135 - 110368963
226253 - 87927530
273648 - 93015877
456282 - 94688523
86439 - 81817847
637244 - 88438999
101029 - 94052426
167972 - 99367367
621010 - 90775408
352462 - 103975706
304815 - 85930178
396842 - 91186162
495220 - 101401391
234984 - 85187591
323592 - 114299638
327828 - 102923567
289867 - 85754959
572352 - 91999504
257885 - 93464901
499478 - 91146878
163824 - 92106797
311450 - 113281285
432727 - 104685501
333412 - 87503399
475296 - 95305125
332214 - 97459140
528224 - 96914586
411058 - 89527137
373990 - 91522586
334358 - 94423902
353546 - 94444618
430413 - 96481992
285201 - 92360103
474683 - 84672723
509418 - 112851378
703362 - 110012955
344775 - 110164095
631970 - 96475708
134279 - 113503447
362958 - 96616357
449270 - 105288550
334276 - 93174791
490453 - 84198294
221023 - 96324797
246269 - 93115608
139011 - 88284129
301631 - 111190400
180926 - 117236679
289505 - 103241637
464027 - 103862146
285004 - 123148666
340559 - 110341712
606559 - 112547396
428431 - 88821670
781200 - 117117861
444962 - 92141144
659281 - 90780732
336747 - 92333684
244605 - 92817135
600090 - 101940566
214146 - 91497416
308911 - 104563459
338493 - 83594884
480386 - 97856217
460181 - 91112720
436940 - 118619954
369852 - 101977251
553696 - 91227177
158295 - 83671737
301315 - 91477092
102237 - 117189634
130175 - 88788489
465677 - 109461072
317698 - 94563093
133850 - 103019261
292168 - 106321803
155963 - 81710582
193130 - 82764634
153315 - 83746233
482061 - 83622545
211279 - 104667759
210746 - 103929435
437934 - 103815070
536156 - 96916460
641783 - 89653006
147015 - 111632759
432914 - 94175096
323061 - 92194219
347667 - 106534928
221014 - 101156569
517721 - 131128036
846888 - 106455398
594128 - 85127154
544355 - 86495113
341056 - 96020985
445707 - 83987182
374920 - 103034284
313527 - 119626472
222083 - 98148434
618679 - 97847185
247187 - 98601408
230598 - 97828808
262117 - 90247099
135435 - 92956561
321905 - 108872652
629831 - 111519385
347143 - 108204190
467439 - 115901130
234816 - 95242006
256531 - 90946854
168266 - 104499904
195965 - 96883292
375877 - 87210539
380473 - 88349859
429555 - 107195730
429556 - 93733404
240836 - 118454514
266439 - 80490338
284573 - 100030677
331662 - 82486873
619112 - 109635915
378153 - 94390488
155684 - 100512747
381331 - 100769009
436122 - 89697849
238038 - 108280560
249431 - 135570335
327363 - 94434014
305834 - 103154202
318673 - 80623343
314011 - 86552434
87306 - 104631933
316898 - 102361423
302452 - 20218
289894 - 93975948
220570 - 90687064
350770 - 80908555
563677 - 107511565
676783 - 81082549
234390 - 88118406
251275 - 86362010
282748 - 98871721
511646 - 97040142
2438313 - 108570730
274865 - 100394962
185480 - 94154135
319976 - 103283152
193820 - 84030029
168396 - 96648746
477325 - 91443693
385004 - 100797639
187437 - 92689935
479748 - 100338392
635514 - 86830829
308007 - 104022667
596821 - 88868346
471986 - 106548859
265594 - 82023905
509050 - 123033251
171596 - 91668564
403126 - 86117284
468685 - 97294926
560256 - 100760738
209402 - 79967438
292719 - 85666125
353557 - 102408723
459638 - 98539239
729565 - 105304351
273854 - 85656849
233033 - 86535435
254026 - 112500305
289081 - 117750549
300132 - 93976937
504505 - 94778651
301539 - 100672957
2111127 - 91521798
586119 - 101079224
654591 - 104213752
214536 - 89216702
252991 - 107987822
257354 - 94898575
334348 - 82250999
379911 - 87590989
133249 - 90677867
221413 - 91613838
358434 - 86438503
583590 - 109093463
181043 - 107310724
496780 - 111773517
532844 - 95422777
285366 - 98695719
519854 - 90990890
341287 - 92815446
550512 - 83010231
267160 - 119298123
488046 - 98787927
432352 - 103226567
360369 - 82776992
347812 - 106042935
647221 - 100734104
253873 - 88377061
