Welzl Time, Naif Time
23127,86345
438,60202
927,51499
443,46420
965,45772
396,62996
220,57752
101,56180
148,69631
129,62737
114,72486
271,68228
212,367
249,56595
152,58626
245,1052
304,55913
95,62839
362,50181
266,45007
329,75276
231,94051
339,74223
262,68275
206,78631
333,66102
147,57524
249,44388
242,55530
205,63643
330,52201
213,64970
110,49649
147,62695
230,76020
184,57968
86,72290
127,62313
152,67754
84,71919
205,58850
227,55614
171,67781
259,71070
258,84706
62,46970
412,45454
131,52825
212,50850
241,57190
235,58185
235,60975
74,66187
84,63345
470,48760
228,68851
267,43177
203,45628
214,46675
489,60850
329,74266
112,68822
251,44970
167,46682
162,104
191,74986
115,48967
359,43243
115,59121
355,71145
115,56617
76,59030
245,61912
409,77082
208,53688
254,87224
509,49505
136,72901
216,66252
161,58814
154,55601
182,69791
472,49078
261,54808
198,49749
141,70240
113,68786
253,72904
170,58064
247,63556
312,50144
469,58953
160,56380
229,63211
1065,72960
488,69063
147,62637
677,62553
281,70672
341,56634
535,53735
265,69607
245,58851
369,48083
122,64131
409,45909
372,54711
332,81631
195,74437
273,34
294,68639
145,72775
270,62253
203,57568
447,59289
302,78943
542,52762
416,54357
393,57530
357,59718
116,65200
231,79719
338,69493
395,74880
321,71759
122,48805
278,68610
126,47979
261,45534
122,46960
303,77406
203,68260
155,57815
223,47332
166,69833
180,63274
150,57470
215,45270
185,65949
203,71303
503,42010
316,62014
70,64072
118,50490
301,70788
135,64862
356,48994
511,62891
229,62039
303,42304
306,44679
233,61796
173,45667
167,45387
290,49055
449,74778
382,65448
183,69509
108,66184
211,69490
311,77732
357,66386
337,66508
90,88
320,59454
180,59121
206,69224
273,45106
571,71373
271,65988
139,58207
248,73625
477,71027
588,60726
119,66879
206,57249
443,70704
301,47103
197,55300
198,57706
451,50135
466,47459
361,77092
205,45179
589,45922
265,62291
293,56406
168,44684
218,71505
216,66414
170,47360
102,46704
308,54711
221,64044
325,70860
443,74354
588,46616
278,72674
184,65439
285,48967
350,78752
218,54961
170,68700
299,63929
197,70989
175,53331
175,67715
157,49371
327,50589
513,61442
168,50384
294,77058
166,65321
111,68285
419,44806
214,64082
154,63892
269,51639
183,61479
137,67250
220,78231
576,58358
318,66549
239,62867
232,55287
171,55449
252,45677
294,51520
200,49342
218,41630
305,71670
335,51853
171,251
300,56838
409,67896
255,63966
395,71352
154,79553
224,73360
264,50739
339,65497
353,43627
267,72556
326,45164
171,45952
135,66867
217,69858
124,68972
231,74194
238,69210
325,48051
395,65224
116,64374
279,66332
160,58353
235,58695
585,77529
537,58589
232,54420
426,52315
189,56547
153,61499
130,43790
254,45777
195,58201
420,82026
686,81357
562,69595
294,71
100,62267
372,59950
410,71484
388,50592
229,57440
84,46192
303,61824
108,44788
174,59845
244,67687
174,57459
536,46360
356,58971
405,70717
348,56956
139,44887
136,53609
129,66920
222,63326
343,56252
93,74617
285,65169
109,68808
277,47105
163,63888
93,62474
187,48696
431,42480
174,66582
497,510
306,49042
202,45378
400,53924
252,65947
273,47560
222,46037
185,58251
423,43000
294,60983
342,60587
271,51408
309,47200
303,67455
565,75496
338,56914
250,50321
232,68741
214,50674
150,70065
257,60566
377,72721
325,70854
190,69349
291,69956
526,45469
167,51361
136,46670
267,60171
206,56073
73,93004
169,62967
154,55873
133,56455
227,57758
278,68528
315,61551
180,71996
177,81138
242,69132
119,49290
115,66293
157,63316
200,46222
174,54331
403,71832
204,71756
275,50969
276,71528
174,54628
276,60911
173,72494
292,70959
143,51690
