WelzlTime - NaifTime
29277 - 211204
1194 - 111595
829 - 104357
981 - 106852
553 - 113141
561 - 99667
439 - 85807
557 - 115360
261 - 84364
313 - 104758
162 - 92921
378 - 91299
604 - 85129
218 - 95522
144 - 98678
203 - 91095
501 - 96949
422 - 87263
212 - 95486
494 - 105020
605 - 97113
242 - 99015
397 - 97889
450 - 84058
998 - 114432
379 - 120657
264 - 88364
415 - 102681
474 - 95894
700 - 115657
733 - 124235
507 - 91605
400 - 107261
865 - 102928
147 - 95248
684 - 86393
304 - 108643
115 - 87657
151 - 103020
640 - 96154
613 - 83828
507 - 95015
397 - 99916
253 - 105465
188 - 114192
310 - 110691
162 - 107990
318 - 109168
355 - 90533
318 - 92792
329 - 86025
241 - 89591
479 - 100233
686 - 86003
471 - 93202
488 - 112212
634 - 93587
738 - 100659
477 - 108384
199 - 107772
496 - 89468
548 - 104958
1208 - 98291
317 - 85928
1390 - 101930
386 - 86029
262 - 104163
788 - 92731
824 - 91493
490 - 94793
1143 - 91849
219 - 111050
601 - 88400
795 - 94197
395 - 88892
814 - 90690
456 - 95856
585 - 89849
615 - 85234
533 - 89025
3319 - 92354
386 - 108016
350 - 85421
342 - 96162
397 - 85758
242 - 98648
253 - 90815
339 - 107639
253 - 96035
251 - 103244
261 - 107663
477 - 99737
330 - 88497
99 - 110635
259 - 113894
163 - 87916
321 - 91394
213 - 89577
666 - 108720
535 - 84169
348 - 94545
558 - 88713
255 - 89232
565 - 960
458 - 119057
175 - 87707
449 - 95437
464 - 106222
401 - 122195
283 - 97938
278 - 105215
252 - 91085
317 - 82737
347 - 81971
169 - 109601
511 - 88007
354 - 92397
326 - 94169
420 - 82791
433 - 88861
257 - 93786
175 - 99477
588 - 90959
163 - 103606
488 - 87480
387 - 90184
254 - 95520
350 - 81405
225 - 108328
598 - 99467
583 - 84682
197 - 91397
215 - 88395
743 - 86505
279 - 86875
248 - 105622
217 - 99681
173 - 86590
196 - 95559
391 - 97213
271 - 96284
373 - 88439
224 - 91564
279 - 93647
419 - 93666
328 - 99921
383 - 90411
260 - 80386
375 - 108767
193 - 103686
282 - 103745
205 - 88811
118 - 106934
261 - 92539
550 - 104432
429 - 88619
338 - 79251
311 - 90765
194 - 87608
438 - 83110
356 - 105986
391 - 120325
320 - 98191
497 - 97798
179 - 116886
246 - 103586
484 - 108033
196 - 86187
1002 - 112793
327 - 88538
240 - 91507
637 - 94066
470 - 115455
383 - 117204
522 - 96313
504 - 105414
148 - 82975
321 - 96819
353 - 90707
353 - 117512
304 - 97030
188 - 87485
345 - 79083
177 - 87257
287 - 111385
416 - 83930
203 - 105004
565 - 89642
165 - 97243
162 - 105353
813 - 80890
254 - 81776
521 - 83435
213 - 84118
342 - 103707
339 - 102949
444 - 103328
219 - 95705
540 - 87888
476 - 106858
392 - 88771
321 - 86971
398 - 101745
326 - 97644
222 - 124684
723 - 101192
298 - 80203
301 - 82055
431 - 90750
380 - 79295
470 - 100079
299 - 118595
401 - 101886
598 - 98747
595 - 98350
176 - 97915
407 - 94645
332 - 93690
765 - 108787
690 - 110629
400 - 107245
309 - 114282
189 - 93947
264 - 89759
214 - 104751
352 - 98108
338 - 87473
520 - 89696
349 - 107359
381 - 92849
407 - 118800
374 - 79743
424 - 98471
404 - 81142
604 - 108445
269 - 93664
396 - 99879
243 - 100268
172 - 89298
394 - 107610
523 - 134292
200 - 93391
586 - 102204
364 - 80187
320 - 85056
329 - 105314
311 - 99214
254 - 20
284 - 93202
281 - 90387
588 - 80838
539 - 111991
293 - 81663
318 - 88468
568 - 87124
344 - 100550
326 - 99993
307 - 103089
357 - 96721
638 - 107729
662 - 105461
507 - 85463
546 - 98647
534 - 92888
405 - 99789
163 - 90024
301 - 98437
611 - 86491
117 - 103545
401 - 88750
226 - 106552
272 - 80734
354 - 140745
620 - 92625
202 - 86632
502 - 97333
248 - 100918
295 - 82021
443 - 85135
474 - 101895
392 - 98188
349 - 104322
360 - 84828
662 - 86038
272 - 110771
161 - 115783
184 - 92681
274 - 93737
260 - 99929
211 - 90619
529 - 99665
301 - 102354
254 - 88192
633 - 106067
452 - 93139
311 - 81101
256 - 86683
559 - 89750
377 - 90714
200 - 85761
304 - 108167
306 - 106913
456 - 111397
186 - 95299
199 - 99283
144 - 90922
338 - 92613
246 - 82530
369 - 116971
313 - 97626
306 - 103287
225 - 82847
129 - 105889
553 - 100045
204 - 87719
201 - 110698
477 - 99364
330 - 90104
182 - 88094
260 - 91250
266 - 81282
535 - 111332
316 - 105069
308 - 114997
384 - 84944
393 - 85297
121 - 81409
479 - 92010
286 - 103388
496 - 85195
768 - 97461
274 - 114732
314 - 102532
3932 - 91668
542 - 92476
435 - 118008
177 - 93670
357 - 106875
415 - 89848
360 - 96387
90 - 98314
222 - 92326
604 - 99325
253 - 112932
742 - 83309
523 - 101416
363 - 111733
336 - 100620
535 - 90442
309 - 111896
394 - 112533
363 - 91058
311 - 97946
516 - 135
210 - 92342
600 - 97288
231 - 95550
742 - 103836
312 - 100129
207 - 82706
604 - 106317
518 - 87791
627 - 92997
310 - 73
368 - 89395
408 - 108309
386 - 83302
238 - 109099
206 - 91289
266 - 115086
232 - 89430
321 - 100813
317 - 108137
413 - 112502
604 - 109265
512 - 101294
280 - 98680
496 - 99207
516 - 82960
282 - 82809
298 - 107506
401 - 95719
277 - 82651
288 - 107517
529 - 102263
302 - 114874
328 - 93281
525 - 109716
201 - 89817
299 - 88414
316 - 112487
412 - 101833
480 - 112868
322 - 101993
385 - 97872
330 - 94119
260 - 102346
268 - 83887
299 - 104317
625 - 97927
254 - 80689
248 - 99454
120 - 79779
199 - 100896
382 - 88552
318 - 89101
368 - 105021
354 - 89572
324 - 102408
600 - 94016
247 - 104769
255 - 81857
309 - 86111
510 - 94416
167 - 82714
753 - 83699
3721 - 94595
451 - 93453
577 - 84017
480 - 92722
537 - 120477
130 - 114875
366 - 98124
447 - 105739
380 - 95934
145 - 89501
650 - 100435
438 - 87050
384 - 102148
477 - 86957
211 - 125697
344 - 93314
420 - 97473
609 - 114057
287 - 109392
280 - 86805
188 - 94366
460 - 91997
428 - 97385
363 - 87636
406 - 85561
513 - 105813
241 - 81524
169 - 99982
409 - 99852
413 - 107305
234 - 90673
485 - 86123
221 - 106830
832 - 87666
210 - 103118
344 - 102740
162 - 100491
345 - 114604
353 - 93522
242 - 96736
303 - 117459
350 - 85946
482 - 93896
284 - 98246
261 - 96387
396 - 124995
492 - 88838
302 - 97792
160 - 92176
213 - 101895
260 - 98799
280 - 86156
437 - 90706
298 - 84105
632 - 107322
341 - 110396
459 - 100866
749 - 104881
350 - 98206
384 - 91816
244 - 108197
113 - 106973
155 - 81
258 - 106619
229 - 94031
401 - 90224
284 - 82428
239 - 94595
242 - 91545
252 - 94155
299 - 101070
147 - 102274
369 - 81730
363 - 83787
355 - 102048
180 - 92707
277 - 89313
154 - 109499
543 - 92712
485 - 115016
262 - 96188
233 - 98128
450 - 83473
2647 - 99264
388 - 93796
239 - 89631
407 - 107091
264 - 128288
186 - 108439
1514 - 99322
1467 - 97646
319 - 91534
587 - 100277
641 - 91437
222 - 114493
188 - 82318
294 - 82892
379 - 78004
223 - 79479
323 - 96637
257 - 101042
853 - 93662
364 - 79950
440 - 101042
204 - 113519
